Institution_ID,Staff_ID,Staff_Type,Measure,Month,Passed_Count,Flagged_Count,Excluded_Count,Denominator,Pass_percentage
1,18,Resident,PONV03,6/1/2021,23,7,8,30,0.766666667
1,18,Resident,PONV03,7/1/2021,27,4,8,31,0.870967742
1,18,Resident,PONV03,11/1/2021,46,8,9,54,0.851851852
1,18,Resident,PONV03,12/1/2021,36,8,7,44,0.818181818
1,18,Resident,PONV03b,6/1/2021,27,3,8,30,0.9
1,18,Resident,PONV03b,7/1/2021,27,4,8,31,0.870967742
1,18,Resident,PONV03b,11/1/2021,50,4,9,54,0.925925926
1,18,Resident,PONV03b,12/1/2021,38,6,7,44,0.863636364
1,20,CRNA,BP02,1/1/2021,75,1,1,76,0.986842105
1,20,CRNA,BP02,2/1/2021,42,2,5,44,0.954545455
1,20,CRNA,BP02,3/1/2021,42,2,2,44,0.954545455
1,20,CRNA,BP02,4/1/2021,47,0,7,47,1
1,20,CRNA,BP02,5/1/2021,36,0,5,36,1
1,20,CRNA,BP02,6/1/2021,49,2,5,51,0.960784314
1,20,CRNA,BP02,7/1/2021,36,0,2,36,1
1,20,CRNA,BP02,8/1/2021,35,1,1,36,0.972222222
1,20,CRNA,BP02,9/1/2021,45,2,2,47,0.957446809
1,20,CRNA,BP02,10/1/2021,29,1,2,30,0.966666667
1,20,CRNA,BP02,11/1/2021,49,0,1,49,1
1,20,CRNA,FLUID01NC,1/1/2021,77,0,0,77,1
1,20,CRNA,FLUID01NC,2/1/2021,48,0,1,48,1
1,20,CRNA,FLUID01NC,3/1/2021,45,0,1,45,1
1,20,CRNA,FLUID01NC,4/1/2021,53,0,1,53,1
1,20,CRNA,FLUID01NC,5/1/2021,41,0,0,41,1
1,20,CRNA,FLUID01NC,6/1/2021,54,0,2,54,1
1,20,CRNA,FLUID01NC,7/1/2021,37,0,1,37,1
1,20,CRNA,FLUID01NC,8/1/2021,36,0,1,36,1
1,20,CRNA,FLUID01NC,9/1/2021,48,0,1,48,1
1,20,CRNA,FLUID01NC,10/1/2021,31,0,1,31,1
1,20,CRNA,FLUID01NC,11/1/2021,49,0,1,49,1
1,20,CRNA,PONV03,1/1/2021,61,3,13,64,0.953125
1,20,CRNA,PONV03,2/1/2021,32,2,15,34,0.941176471
1,20,CRNA,PONV03,3/1/2021,42,1,3,43,0.976744186
1,20,CRNA,PONV03,4/1/2021,39,5,10,44,0.886363636
1,20,CRNA,PONV03,5/1/2021,35,2,4,37,0.945945946
1,20,CRNA,PONV03,6/1/2021,42,2,12,44,0.954545455
1,20,CRNA,PONV03,7/1/2021,34,3,1,37,0.918918919
